accountsservice 23.13.9-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
alsa-firmware 1.2.4-3
alsa-plugins 1:1.2.7.1-2
alsa-utils 1.2.8-1
arc-gtk-theme-eos 20221218-1
archlinux-keyring 20230320-1
audacity 1:3.3.0-1
autoconf 2.71-4
automake 1.16.5-2
b43-fwcutter 019-4
base 3-1
bash-completion 2.11-3
bind 9.18.14-1
binutils 2.40-4
bison 3.8.2-5
blueberry 1.4.8-1
bluez 5.66-1
bluez-utils 5.66-1
bpython 0.24-2
brasero 3.12.3+r24+gd01ba738-1
broadcom-wl-dkms 6.30.223.271-36
btrfs-progs 6.2.2-1
caffeine-ng 4.0.2-1
calcurse 4.8.0-2
cantarell-fonts 1:0.303.1-1
cryptsetup 2.6.1-3
debugedit 5.0-5
device-mapper 2.03.21-1
dhclient 4.4.3.P1-1
dialog 1:1.3_20230209-1
diffutils 3.9-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dolphin 23.04.0-2
dosfstools 4.2-3
downgrade 11.3.0-1
duf 0.8.1-2
e2fsprogs 1.47.0-1
efibootmgr 18-2
efitools 1.9.2-5
endeavouros-keyring 20220614-1
endeavouros-mirrorlist 23.1-1
endeavouros-skel-xfce4 3.4-1
endeavouros-theming 22.12.3.3-1
endeavouros-xfce4-terminal-colors 5-1
eos-apps-info 1.6-1
eos-hooks 1.12-1
eos-lightdm-slick-theme 3.2-1
eos-log-tool 23-1
eos-packagelist 2.1-1
eos-qogir-icons 4-2
eos-quickstart 1.3.1-1
eos-rankmirrors 2.11-1
eos-update-notifier 23-3
ethtool 1:6.2-1
exfatprogs 1.2.0-1
exo 4.18.0-1
f2fs-tools 1.16.0-1
fakeroot 1.31-2
fd 8.7.0-1
ffmpegthumbnailer 2.2.2-5
file 5.44-3
file-roller 43.0-1
findutils 4.9.0-3
firefox 112.0.2-2
firewalld 1.3.0-2
flameshot 12.1.0-1
